simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,ttft_mean,55.578867464847555,70.95464423345402,21.66986662355362,-21.66986662355362,15.375776768606464,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,ttft_p90,69.746,98.77880150452258,29.391732904547663,-29.391732904547663,29.03280150452258,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,ttft_p99,92.78212000000006,256.0291083995256,63.76110490717469,-63.76110490717469,163.24698839952555,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,1,itl_mean,22.54870530621953,20.71895850121644,8.831268255572127,8.831268255572127,1.82974680500309,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,e2e_mean,5576.119331360333,5038.638279881672,10.667188665332862,10.667188665332862,537.4810514786604,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,e2e_p90,5766.921,5228.931335546076,10.2887115919211,10.2887115919211,537.989664453924,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,e2e_p99,5788.462,5523.6251761857375,4.79461975363691,4.79461975363691,264.83682381426297,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,ttft_mean,54.07523686396677,68.93669608209858,21.558125153594386,-21.558125153594386,14.861459218131806,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,ttft_p90,66.018,75.78027602285147,12.88234423942671,-12.88234423942671,9.762276022851466,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,ttft_p99,91.809,262.36633852124146,65.00732505646221,-65.00732505646221,170.55733852124146,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,itl_mean,22.353154228730222,20.335839809312738,9.91999562513108,9.91999562513108,2.017314419417488,9,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,e2e_mean,5369.86863174946,4518.516301372908,18.841413278023964,18.841413278023964,851.3523303765523,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,e2e_p90,5406.1997,4610.824852803489,17.250163963892586,17.250163963892586,795.3748471965109,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,e2e_p99,5407.7346800000005,8157.533229928262,33.70870179038723,-33.70870179038723,2749.7985499282613,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,ttft_mean,49.955997840172785,63.003405224299065,20.70905110235879,-20.70905110235879,13.04740738412628,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,ttft_p90,57.574000000000005,61.06605250679422,5.718484106051705,-5.718484106051705,3.4920525067942165,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,ttft_p99,59.79429,481.5882299555197,87.58393866778623,-87.58393866778623,421.7939399555197,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,itl_mean,21.622348105322303,18.43533368518837,17.287533139118082,17.287533139118082,3.187014420133938,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,e2e_mean,5474.620140758294,4753.587089595136,15.16818851896892,15.16818851896892,721.0330511631582,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,e2e_p90,5618.523099999999,4851.8590499938,15.801449343570257,15.801449343570257,766.6640500061994,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,e2e_p99,5644.09946,4972.549942743499,13.505133683704912,13.505133683704912,671.5495172565015,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,ttft_mean,49.90257061611374,56.7807600697682,12.113591725794128,-12.113591725794128,6.878189453654457,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,ttft_p90,59.085,64.5072968909517,8.405710907586124,-8.405710907586124,5.422296890951692,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,ttft_p99,62.53730000000001,68.14643126708688,8.230997812787816,-8.230997812787816,5.609131267086873,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,itl_mean,22.048384431472275,19.360742128596165,13.881917774765537,13.881917774765537,2.6876423028761103,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,e2e_mean,5442.670240447958,4675.230160187726,16.415022447352985,16.415022447352985,767.4400802602322,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,e2e_p90,5607.4914,4831.558039489028,16.05969242569697,16.05969242569697,775.9333605109723,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,e2e_p99,5641.76145,4999.0784895047545,12.856028602961867,12.856028602961867,642.6829604952454,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,ttft_mean,49.918866271409755,58.854975121278486,15.183268417758557,-15.183268417758557,8.93610884986873,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,ttft_p90,58.6144,63.862099999096245,8.21723682617782,-8.21723682617782,5.247699999096241,10,H100,1.0,True,0.9,FP16,2,2048
blis-evolved,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,-1,ttft_p99,62.273,69.99859479532462,11.036785549644533,-11.036785549644533,7.725594795324618,10,H100,1.0,True,0.9,FP16,2,2048
